Reversible data embedding using a difference expansion,"Jun Tian, ",2003,984,Reversible watermarking algorithm based on prediction error expansion for color image,A new reversible data hiding based on fuzzy predictor,High capacity reversible data hiding based on histogram shifting for medical images,A New Secure Image Transmission Technique via Secret-Fragment-Visible Mosaic Images by Nearly Reversible Color Transformations,Secure Reversible Image Data Hiding Over Encrypted Domain via Key Modulation,Reversible Data Hiding in Encrypted Images With Distributed Source Encoding,Lossless and Reversible Data Hiding in Encrypted Images With Public-Key Cryptography,Reversible Data Hiding in JPEG Images,Separable Reversible Data Hiding for Encrypted Palette Images With Color Partitioning and Flipping Verification,Rate and Distortion Optimization for Reversible Data Hiding Using Multiple Histogram Shifting,An approach to reversible information hiding for images,Reversible Steganography for VQ-Compressed Images Using Side Matching and Relocation,Lossless Data Embedding With High Embedding Capacity Based on Declustering for VQ-Compressed Codes,Reversible Image Watermarking Based on Integer-to-Integer Wavelet Transform,A Novel Difference Expansion Transform for Reversible Data Embedding,Reversible Image Watermarking Using Interpolation Technique,Reversible Data Hiding Based on Histogram Modification of SMVQ Indices,Improved Embedding for Prediction-Based Reversible Watermarking,Separable Reversible Data Hiding in Encrypted Image,Line-Based Cubism-Like Image—A New Type of Art Image and its Application to Lossless Data Hiding,Reversible Watermarking Based on Invariant Image Classification and Dynamic Histogram Shifting,Reversible Data Hiding in Encrypted Images by Reserving Room Before Encryption,Fast Estimation of Optimal Marked-Signal Distribution for Reversible Data Hiding,A Novel Reversible Data Hiding Scheme Based on Two-Dimensional Difference-Histogram Modification,Minimum Rate Prediction and Optimized Histograms Modification for Reversible Data Hiding,Efficient Reversible Data Hiding Based on Multiple Histograms Modification,A Reversible Data Hiding Scheme Based on Code Division Multiplexing,New Framework for Reversible Data Hiding in Encrypted Domain,An Efficient MSB Prediction-Based Method for High-Capacity Reversible Data Hiding in Encrypted Images,Reversible Watermarking by Modulation and Security Enhancement
Code division multiple-access techniques in optical fiber networks. I. Fundamental principles,"J. A. Salehi, ",1989,982,Belief propagation-based multiuser receivers in optical code-division multiple access systems,Efficient modulation technique for optical code division multiple access networks: differential pulse position modulation,Performance evaluation of asynchronous multi-carrier code division multiple access for next-generation long-reach fibre optic access networks,Error probability upper bound for perfect sequences implemented with super-structured fibre Bragg gratings,Analysis of power control for indoor wireless infrared CDMA communication,Novel optical fiber code-division multiple access networks supporting real-time multichannel variable-bit-rate (VBR) video distributions,Real-time multimedia broadcasting via direct-detection fiber-optic synchronous CDMA networks,Flexible optical fiber CDMA networks using strict optical orthogonal codes for multimedia broadcasting and distribution applications,Design of integrated services digital broadcasting systems using multirate optical fiber code-division multiplexing,Optical orthogonal codes: design analysis and applications,Optical orthogonal codes with unequal auto- and cross-correlation constraints,The Poisson multiple-access channel,Optical orthogonal codes: their bounds and new optimal constructions,Constructions for optimal (/spl upsi/ 4 1) optical orthogonal codes,Performance comparison of asynchronous and synchronous code-division multiple-access techniques for fiber-optic local area networks,PN code-aided ranging for optical satellite communication systems,Limits to the encoding and bounds on the performance of coherent ultrashort light pulse code-division multiple-access,Performance analysis of direct-detection optical CDMA communication systems with avalanche photodiodes,Optical CDMA via temporal codes,Optical orthogonal code-division multiple-access system .I. APD noise and thermal noise,Optical orthogonal code-division multiple-access system .II. Multibits/sequence-period OOCDMA,The design and performance analysis for several new classes of codes for optical synchronous CDMA and for arbitrary-medium time-hopping synchronous CDMA communication systems,Performance analysis of single-user and multiuser detectors for optical code division multiple access communication systems,On the construction of 2/sup n/ codes for optical code-division multiple-access,Performance analysis of optical synchronous CDMA communication systems with PPM signaling,Performance of packet-switched fiber-optic frequency-hopping multiple-access networks,Holographic CDMA,Channel coding for asynchronous fiberoptic CDMA communications,Variable-weight optical orthogonal codes for CDMA networks with multiple performance requirements,2/sup n/ prime-sequence codes and coding architecture for optical code-division multiple-access
Simics: A full system simulation platform,"P. S. Magnusson, M. Christensson, J. Eskilson, D. Forsgren, G. Hallberg, J. Hogberg, F. Larsson, A. Moestedt, B. Werner, ",2002,969,Development of the Temperature Sensor for Measuring Heat Based on the Difference between the Specific Enthalpy,Execution-driven parallel simulation of PGAS applications on heterogeneous tiled architectures,Memory Heat Map: Anomaly detection in real-time embedded systems using memory behavior,On-chip interconnection network for accelerator-rich architectures,A CAM fault-tolerant strategy for multiprocessor by using bloom filter and history lookup table,Spin detection hardware for improved management of multithreaded systems,Extending the TokenCMP Cache Coherence Protocol for Low Overhead Fault Tolerance in CMP Architectures,Dealing with Transient Faults in the Interconnection Network of CMPs at the Cache Coherence Level,Secure Synchronization of Periodic Updates in Ad Hoc Networks,Modeling and Stack Simulation of CMP Cache Capacity and Accessibility,A Direct Coherence Protocol for Many-Core Chip Multiprocessors,Supporting Overcommitted Virtual Machines through Hardware Spin Detection,Communication-Aware Globally-Coordinated On-Chip Networks,Balancing Performance and Cost in CMP Interconnection Networks,Distributed Cooperative Caching: An Energy Efficient Memory Scheme for Chip Multiprocessors,Efficient and Scalable Starvation Prevention Mechanism for Token Coherence,Efficient Eager Management of Conflicts for Scalable Hardware Transactional Memory,Hardware Signature Designs to Deal with Asymmetry in Transactional Data Sets,LvtPPP: Live-Time Protected Pseudopartitioning of Multicore Shared Caches,Improving Utilization of Hardware Signatures in Transactional Memory,Eager Beats Lazy: Improving Store Management in Eager Hardware Transactional Memory,Adaptive-Tree Multicast: Efficient Multidestination Support for CMP Communication Substrate,Fast and Accurate Simulation of the Cray XMT Multithreaded Supercomputer,Architectural Support for Handling Jitterin Shared Memory Based Parallel Applications,Thread Progress Aware Coherence Adaption for Hybrid Cache Coherence Protocols,Extending the Performance and Energy-Efficiency of Shared Memory Multicores with Nanophotonic Technology,ZEBRA: Data-Centric Contention Management in Hardware Transactional Memory,A-WiNoC: Adaptive Wireless Network-on-Chip Architecture for Chip Multiprocessors,Efficient TLB-Based Detection of Private Pages in Chip Multiprocessors,A Loosely-Coupled Full-System Multicore Simulation Framework
Multi-Cell MIMO Cooperative Networks: A New Look at Interference,"David Gesbert, Stephen Hanly, Howard Huang, Shlomo Shamai Shitz, Osvaldo Simeone, Wei Yu, ",2010,956,Efficient coordinated beamforming and scheduling approaches for Heterogeneous Networks,Wireless node cooperation with resource availability constraints,On the Robustness of Coordinated Beamforming to Uncoordinated Interference and CSI Uncertainty,Combined User Selection and MIMO Weight Calculation for AP Cooperation in Dense Wireless Networks,Femtocell networks: Breaking the complexity of centralized processing with novel dual-stage receivers,Wireless over cable in femtocell systems: A case study from indoor channel measurements,A practical precoding scheme for multicell MIMO channels with partial user's data sharing,Centralised and distributed interference management in coordinated downlink beam-forming,Adaptive feedback scheme on multicell multiuser MISO system,Low-complexity zero-forcing coordinated beamforming by adaptive-perturbation for multi-cell MIMO networks,Differential evolution algorithm based pilot aided weighted data fusion scheme for uplink base-station cooperation system,Robust coordination for multi-cell distributed antenna systems with selective transmission,Beamforming design for interference management in millimeter wave cellular networks with partial CSI,A resource scheduling scheme based on utility function in CoMP environment,Standards compliant CoMP scheduling over LTE heterogeneous wireless networks,Coordinated scheduling in MIMO heterogeneous wireless networks using submodular optimization,Invited paper: Fast multi-channel Gibbs-sampling for clustering in cloud-based radio access networks,Field trial results for CoMP downlink transmissions in cellular systems,Iterative interference alignment for cellular systems,Joint network topology optimization and multicell beamforming using mixed integer programming,On energy efficiency of joint transmission coordinated multi-point in LTE-advanced,Interference cancellation and suppression in asynchronous cooperating base station systems,An effective semi-static interference coordination scheme for wireless cellular systems,Linear precoding in coordinated multicell systems with amplify-and-forward relaying,On the Performance of Two Cells Systems with Adaptive Beamforming and Delay Feedback,Field trial results on uplink joint detection for moving relays,Multi-objective optimization of CoMP-based MIMO-OFDMA networks with frequency reuse,Multi-cell processing with limited cooperation: A novel framework to timely designs and reduced feedback,On scheduling and resource allocation in cluster-based cooperative MIMO-OFDMA cellular networks,Analytical optimization of irregular CoMP-based MIMO-OFDMA networks with frequency reuse
The Capacity Region of the Gaussian Multiple-Input Multiple-Output Broadcast Channel,"H. Weingarten, Y. Steinberg, S. S. Shamai, ",2006,945,A block coordinated update method for beam-based massive MIMO downlink scheduling based on statistical CSI,Vector Precoding Scheme for Multi-User MIMO Systems,Channel Norm-Based Power Control in Downlink Multi-User Distributed MIMO Systems,Non-Cooperative Game for Equal-Gain Beamforming in Multiuser OFDM Systems,Multiuser MIMO Downlink with Linear Precoding for Full Multiplexing Gain,Efficient User Selection for Downlink Zero-Forcing Based Multiuser MIMO Systems,A Vector Perturbation Technique Based on Eigenvalue Normalization for Multi-User MIMO Downlink,On the Optimality of Multiuser Zero-Forcing Precoding in MIMO Broadcast Channels,Multi-User Multi-Stream Generalized Channel Inversion Vector Perturbation,Efficient Zero-Forcing Based Interference Coordination for MISO Networks,Rate Loss Caused by Limited Feedback and Channel Delay in Coordinated Multi-Point System,Long Step User Selection Algorithm for Unitary Beamforming,Enhanced Multiuser Eigenmode Transmission for Joint Frequency-Spatial Resource Allocation in OFDM-MIMO Downlink Systems,Block Diagonal Inversion Precoding for MIMO Broadcast Channels,Modified Tomlinson-Harashima Precoding for Downlink MU-MIMO Channel with Arbitrary Precoder,Multicell Random Beamforming with CDF-Based Scheduling: Exact Rate and Scaling Laws,Performance Evaluation of Superposition Coding in Downlink LTE,Achievable Degrees of Freedom of the K-User MISO Broadcast Channel with Alternating CSIT via Interference Creation-Resurrection,NOMA for Future Cellular Systems,Asymptotic Distribution of System Capacity in Multiuser MIMO Systems with Large Number of Antennas,Practical Multiuser MIMO Beamforming Using the Strongest Eigenmodes,Energy Efficient Joint Precoding for Multibeam Satellite Systems,Alternating Optimization for Capacity Region of Gaussian MIMO Broadcast Channels with Per-Antenna Power Constraint,Energy Efficient Resource Allocation for MIMO SWIPT Broadcast Channels,Minimum SINR Maximization for Multiuser MIMO Downlink with Per BS Power Constraints,Sum Rate Maximization of MIMO Broadcast Channels with Coordination of Base Stations,Multi-User Diversity Gain for Oblivious and Informed Users in Downlink Channels,Cooperative Multi-Cell Block Diagonalization with Per-Base-Station Power Constraints,Vector perturbation precoding and user scheduling for network MIMO,Linear successive user allocation in the Multi-Cell MIMO environment
Multistage detection in asynchronous code-division multiple-access communications,"M. K. Varanasi, B. Aazhang, ",1990,943,Novel ultra-wideband multi-user receiver for transportation systems communication,Noncoherent detection in asynchronous multiuser channels,Collision-type multiple-user communications,Asymptotic multiuser efficiencies for decision-directed multiuser detectors,Solving a class of optimum multiuser detection problems with polynomial complexity,Fading channels: information-theoretic and communications aspects,Coded asynchronous CDMA and its efficient detection,Decision feedback multiuser detection: a systematic approach,Optimally near-far resistant multiuser detection in differentially coherent synchronous channels,On a geometric view of multiuser detection for synchronous DS/CDMA channels,On the performance of linear parallel interference cancellation,,Zero forcing and minimum mean-square-error equalization for multiuser detection in code-division multiple-access channels,A sliding window decorrelating receiver for multiuser DS-CDMA mobile radio networks,The capacity of downlink fading channels with variable rate and power,Orthogonal on-off BPSK: a convenient signaling scheme for near-far resistant detection in DS/CDMA,A generalized QS-CDMA system and the design of new spreading codes,On the use of sigmoid functions for multistage detection in asynchronous CDMA systems,Auxiliary-vector filters and adaptive steering for DS/CDMA single-user detection,Multiuser receivers for CDMA systems in Rayleigh fading channels,A simulation comparison of multiuser receivers for cellular CDMA,A differential phase-shift keying multicarrier code division multiple access system with an equal gain combining receiver,Decision-feedback soft-input/soft-output multiuser detector for iterative decoding of coded CDMA,A two-stage decorrelating detector for DS/CDMA systems,Neural networks for multiuser detection in code-division multiple-access communications,A family of multiuser decision-feedback detectors for asynchronous code-division multiple-access channels,Performance analysis of single-user and multiuser detectors for optical code division multiple access communication systems,Multi-user multi-sensor detectors for CDMA networks,Near-far resistant detection of CDMA signals via isolation bit insertion,A multiuser receiver for code division multiple access communications over multipath channels
Spatio-temporal coding for wireless communication,"G. G. Raleigh, J. M. Cioffi, ",1998,938,The Capacity Analysis of Multiple Correlation in MIMO System,Robust uplink synchronization in MIMO-OFDM systems: Inter-TS-Interference analysis and superposition distortion mitigation,Hybrid technology for next generation broad band mobile radio communications,Space-time zero-forcing pre-equalization for synchronous dispersive multi-user channels,Low-cost MIMO real-time demonstrator: concept and first results,Modal analysis/filtering to estimate time-varying MIMO-OFDM channels,Bit and power loading for spatial multiplexing using partial channel state information,A per-stream coded bit loading algorithm for MIMO BIC-OFDM systems,Efficient resource allocation for MIMO-OFDMA based cognitive radio networks,Cross Layer Dynamic Resource Management with Guaranteed QoS in MIMO OFDM Systems,The Study of Multi-User Diversity Technology Over the MIMO-OFDM System,Adaptable Channel Decomposition for Time-Varying MIMO System with QoS Constraints,A Hybrid Receiver Combining QR and PIC Based on MIMO Frequency Channels,Non-linearity Compensation for Syrup Concentration Sensor Based on BP ANN,Low Complexity MIMO Precoder Design with LDLH Channel Decomposition,Massive MIMO: An Introduction,Performance evaluations on adaptive PAPR reduction method using null space in MIMO channel for eigenmode massive MIMO-OFDM signals,Efficient frequency-domain detection for massive MIMO systems,Analysis of Beamforming and Spatial Multiplexing Strategies in WMAN Outdoor-Indoor Scenarios,Maximum Data Rate Power Allocation for MIMO Spatial Multiplexing Systems with Imperfect CSI,An Orthogonal Projection Optimization Algorithm for Multi-User MIMO Channels,Antenna Selection Based on Minimum Eigenvalue in Dual-Polarized Directional MIMO Antenna,Clipping and Filtering-Based PAPR Reduction Method for Precoded OFDM-MIMO Signals,Power Allocation for Practicable Capacity Maximization in Eigen-MIMO,Low-Complexity Joint Timing Synchronization and Channel Estimation for MIMO OFDM Systems,CF-Based Adaptive PAPR Reduction Method for Block Diagonalization-Based Multiuser MIMO-OFDM Signals,Three space-time block-coding schemes for frequency-selective fading channels with application to EDGE,Power-controlled capacity for interfering MIMO links,The impact of correlation on multi-antenna system performance: correlation matrix approach,MIMO strategies for equal-rate data streams
Face recognition by independent component analysis,"M. S. Bartlett, J. R. Movellan, T. J. Sejnowski, ",2002,924,Blind face indexing in video,A comparison of classification approaches for deep face recognition,A Novel Sparse Representation Classification Face Recognition Based on Deep Learning,Reliable multi-person identification using DCNN-based face recognition algorithm and scale-ratio method,Discriminative FaceTopics for face recognition via latent Dirichlet allocation,Application of Bionic Neural Network on Face Recognition Based on SVD and DCT,Face Recognition Based on Independent Component Analysis and Fuzzy Support Vector Machine,Gabor wavelets and General Discriminant analysis for ear recognition,Face recognition based on improved PCA reconstruction,Face recognition by Zero-Ratio based LGBP features,Robust Facial Attribute-Specific Subspace-Based Principal Component Analysis for Face Recognition,Facial expression invariant person recognition using feature level fusion of visual and thermal images,Face recognition using cloud Hopfield neural network,A human-robot communication system using face images,Face Recognition across Poses Using Transformed Features,Radar Target Recognition Using A Modified FastICA Algorithm plus GAs,Direct kernel PCA with RBF neural networks for face recognition,2D+3D face recognition using Dual-tree Wavelet Transform,TotalPLS: Local Dimension Reduction for Multicategory Microarray Data,Class-Specific Reference Discriminant Analysis With Application in Human Behavior Analysis,Class-Specific Kernel-Discriminant Analysis for Face Verification,Learning the Uncorrelated Independent and Discriminating Color Spaces for Face Recognition,Face Recognition Under Occlusions and Variant Expressions With Partial Similarity,A Doubly Weighted Approach for Appearance-Based Subspace Learning Methods,Depth Estimation of Face Images Based on the Constrained ICA Model,Dictionary-Based Face Recognition Under Variable Lighting and Pose,Face Recognition and Verification Using Photometric Stereo: The Photoface Database and a Comprehensive Evaluation,A Novel Serial Multimodal Biometrics Framework Based on Semisupervised Learning Techniques,Joint Feature Learning for Face Recognition,Cross-Speed Gait Recognition Using Speed-Invariant Gait Templates and Globality–Locality Preserving Projections
A comparison of optimal and sub-optimal MAP decoding algorithms operating in the log domain,"P. Robertson, E. Villebrun, P. Hoeher, ",1995,923,Effect of mismatched SNR on the performance of iterative linear detection in MIMO-OFDM systems,Joint source-channel coding for MPEG-4 streams transmission over 3G networks,The implementation of turbo decoder on DSP in W-CDMA system,Research on Low Latency Decoding Scheme of Turbo Codes,An efficient adaptive receiver for MIMO-OFDM systems,Hybrid reference signal multiplexing using combination of block spread and cyclic shift CDMA for uplink control signals in DFT-precoded OFDMA,Performance of star 16QAM using iterative decision-directed channel estimation for DFT-precoded OFDMA,Effect of joint modulation and coding scheme selection on turbo SIC for OFDM-MIMO multiplexing,Performance of turbo FDE using two-dimensional LMMSE based iterative decision-directed channel estimation for DFT-precoded OFDMA,Optimizing a pipelined MIMO sphere detector for energy efficiency,A low-complexity soft demapper for 128APSK of DVB-S2X,Suboptimum Demodulator for BICM-ID Receivers in Impulsive Noise,Decoding Structure of Turbo Code Based on Parallel Prediction Control,An Improved Max-Log-MAP Decoding Algorithm for UST Symbol-Based Turbo Code,A Robust Detection Algorithm for the Multi-Path Channel,Convolutional encoding effects on conventional multiuser decoding algorithm in imperfect decoding conditions,A novel collision detection scheme for Wireless Sensor Networks using received signal dynamic range statistics,Comparison of different soft demodulation and decoding algorithms in coded M-ary orthogonal DS-CDMA systems,Localization in NLOS environments using TOA AOD and Doppler-shift,Iterative detection of linear-dispersion codes,Time varying convolutional codes for punctured turbocodes,Improving turbocode performance by cross-entropy,Design of BICM-ID Systems with Suboptimal Log-MAP Decoding Algorithm,Space-Time Block Codes Assisted by Fast Turbo Codes,Max-Log-MAP and Log-MAP Decoding Algorithms for UST Symbol Based Turbo Code,A Low Memory Design for Hybrid-ARQ Systems,Parallel progressive hierarchical turbo codes,Fusion techniques for multi-hop relay wireless sensor networks,Performance analysis of Root Raised Cosine filtering in CCSDS ACM,Designing interleaver for high dimensional data transmission using hybrid GSO
Complete discrete 2-D Gabor transforms by neural networks for image analysis and compression,"J. G. Daugman, ",1988,916,Neural network technique for image compression,Entropy reduction and decorrelation in visual coding by oriented neural receptive fields,A neural network approach to the labeling of line drawings,Shiftable multiscale transforms,A generalized wavelet transform for Fourier analysis: the multiresolution Fourier transform and its application to image and audio signal analysis,Localized measurement of emergent image frequencies by Gabor wavelets,Vector quantization with complexity costs,Psychophysical 1-D wavelet analysis and the appearance of visual contrast illusions,Visual pattern image coding,Weight adjustment rule of neural networks for computing discrete 2-D Gabor transforms (image processing),Image compression using an overcomplete discrete wavelet transform,Kernel designs for efficient multiresolution edge detection and orientation estimation,The canonical coordinates method for pattern deformation: theoretical and computational considerations,High confidence visual recognition of persons by a test of statistical independence,Deformable kernels for early vision,Multichannel texture analysis using localized spatial filters,Texture features for browsing and retrieval of image data,Handprinted character recognition based on spatial topology distance measurement,Image representation using 2D Gabor wavelets,Texture classification using windowed Fourier filters,Object recognition robust under translations deformations and changes in background,Face recognition by elastic bunch graph matching,Space-variant Fourier analysis: the exponential chirp transform,Pictorial recognition of objects employing affine invariance in the frequency domain,Scale-space derived from B-splines,Primitive features by steering quadrature and scale,Classifying facial actions,The design and use of steerable filters,A selective attention-based method for visual pattern recognition with application to handwritten digit recognition and face recognition,An experiment on texture segmentation using modulated wavelets
A new three-step search algorithm for block motion estimation,"Reoxiang Li, Bing Zeng, M. L. Liou, ",1994,906,VLSI Architecture of Full-Search Variable-Block-Size Motion Estimation for HEVC Video Encoding,Fast motion estimation algorithm using multilevel distortion search in Walsh–Hadamard domain,A fuzzy search algorithm for the estimation of motion vectors,Parallel programmable algorithm and architecture for real-time motion estimation of various video applications,A new block-matching algorithm based on subspace and partial distance search techniques in the wavelet domain,A fast three-step search algorithm with minimum checking points using unimodal error surface assumption,Adaptive adjustment of the search window for block-matching algorithm with variable block size,Real-time video coding,A new block-matching algorithm based on an adaptive search area adjustment using spatio-temporal correlation,Adaptive matching scan algorithm based on gradient magnitude for fast full search in motion estimation,An efficient blocking-matching algorithm based on fuzzy reasoning,Algorithm-based low-power and high-performance multimedia signal processing,An efficient gray search algorithm for the estimation of motion vectors,Fast full search motion estimation algorithm using various matching scans in video coding,Motion vector refinement for high-performance transcoding,Vehicle-type identification through automated virtual loop assignment and block-based direction-biased motion estimation,A novel four-step search algorithm for fast block motion estimation,A block-based gradient descent search algorithm for block motion estimation in video coding,A simple and efficient search algorithm for block-matching motion estimation,Fast motion vector estimation using multiresolution-spatio-temporal correlations,Design of fast motion estimation algorithm based on hardware consideration,A high performance fast search algorithm for block matching motion estimation,Optimization of fast block motion estimation algorithms,An adaptive search length algorithm for block matching motion estimation,A modular high-throughput architecture for logarithmic search block-matching motion estimation,A novel unrestricted center-biased diamond search algorithm for block motion estimation,Hilbert scanning search algorithm for motion estimation,New fast and efficient two-step search algorithm for block motion estimation,Modified one-bit transform for motion estimation,Adaptive motion tracking block matching algorithms for video coding
Near Shannon limit performance of low density parity check codes,"D. J. C. MacKay, R. M. Neal, ",1996,905,Performance of low-density parity-check (LDPC) coded OFDM systems,Performance comparison of layered space time codes,Near optimum universal belief propagation based decoding of low-density parity check codes,Decoding low-density parity check codes with normalized APP-based algorithm,Construction of low-density parity-check codes from Kirkman triple systems,Low-density parity-check codes based on finite geometries: a rediscovery and new results,Low-density parity-check (LDPC) coded OFDM systems,Regular low-density parity-check codes from combinatorial designs,The distribution of loop lengths in graphical models for turbo decoding,Parallel decoding architectures for low density parity check codes,Tanner graphs for group block codes and lattices: construction and complexity,Analysis of sum-product decoding of low-density parity-check codes using a Gaussian approximation,Analyzing the turbo decoder using the Gaussian approximation,Efficient encoding of low-density parity-check codes,Signal-space characterization of iterative decoding,Improved low-density parity-check codes using irregular graphs,Efficient erasure correcting codes,Codes on graphs: normal realizations,On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit,Low density parity check codes: construction based on finite geometries,Constructing low-density parity-check codes,Improved upper bounds on the ensemble performance of ML decoded low density parity check codes,On the packet error rate of convolutional codes,GPU accelerated gigabit level BCH and LDPC concatenated coding system,Rate-compatible and high-throughput architecture designs for encoding LDPC codes,MANGO: Exploring Manycore Architectures for Next-GeneratiOn HPC Systems,Convex Optimization-Based Signal Detection for Massive Overloaded MIMO Systems,Error Characterization Mitigation and Recovery in Flash-Memory-Based Solid-State Drives,Dynamic Scheduling Decoding of LDPC Codes Based on Tabu Search,On the design of good LDPC codes with joint genetic algorithm and linear programming optimization
On the capacity of MIMO broadcast channels with partial side information,"M. Sharif, B. Hassibi, ",2005,902,Feedback reduction by thresholding in multi-user broadcast channels: Design and limits,The proportional fair sharing algorithm under i.i.d. models,A unified analysis of CDF-based distributed scheduling in a heterogeneous multicell,An enhanced threshold-based feedback scheme for massive MU-MIMO downlink FDD systems,Enhanced service delivery for cognitive systems within multiple antenna scenarios,Exact pre-scheduling SINR analysis for per-user unitary rate control systems,Cross-layer channel selection and reward-based power allocation for increasing system capacity and reward in multiple-input-multiple-output wireless communications,Asymptotic throughput analysis of random beamforming for multi-antenna cognitive broadcast networks,Performance improvement of the PU2RC transmission schemes,Throughput analysis of multi-antenna cognitive broadcast networks,Data-assisted channel estimation and performance analysis for two-way amplify-and-forward relay networks with M-ary frequency shift keying modulation,Performance analysis of random beamforming for multiuser spectrum sharing networks,Base Station Cooperatively Scheduled Transmission in a Cellular MIMO TDMA System,Scheduling and Codeword Length Optimization in Time Varying Wireless Networks,Sum-Rate Analysis of General OFDM Downlink Channels with 1-bit Feedback per Sub-Carrier,A Random Precoding Technique for the Downlink of Multiuser MIMO Systems,How Many Users should be Turned On in a Multi-Antenna Broadcast Channel,A low complexity linear multiuser MIMO beamforming system with limited feedback,Quantized linear MIMO precoding for multiuser downlink systems,Multiuser diversity gain in cognitive networks with distributed spectrum access,Performance analysis of random beamforming with heterogeneous users,Doubly opportunistic beamforming for downlink multiuser MIMO,An Improved Selective Feedback Scheduling with a Fixed Relay,Angle-of-Departure-Aided Opportunistic Space-Division Multiple Access,Analysis of feedback multi-thresholding in cognitive radio networks based on opportunistic beamforming,An Overview on Resource Allocation Techniques for Multi-User MIMO Systems,A Survey on Multiple-Antenna Techniques for Physical Layer Security,A Fast Scheduling Algorithm for Multiuser MIMO-MRC Based Cognitive Radio Networks,Throughput and Fairness maximization in Wireless Networks,Opportunistic beamforming with precoding for spatially correlated channels
Rate-distortion optimization for video compression,"G. J. Sullivan, T. Wiegand, ",1998,896,Compound image compression based on unified LZ and hybrid coding,High-speed implementation of rate-distortion optimised quantisation for H.265/HEVC,Fast coding unit selection and motion estimation algorithm based on early detection of zero block quantified transform coefficients for high-efficiency video coding standard,Efficient frame-level bit allocation algorithm for H.265/HEVC,Fast mode decision scheme using sum of the absolute difference-based Bayesian model for the H.264/AVC video standard,Block based Rate-Distortion analysis for quality improvement of synthesized views,A novel depth map quality metric and its usage in depth map coding,Optimal mode selection and synchronization for robust video communications over error-prone networks,Video coding with optimal inter/intra-mode switching for packet loss resilience,An end-to-end approach for optimal mode selection in Internet video communication: theory and application,Error-resilient video transmission using long-term memory motion-compensated prediction,Transporting real-time video over the Internet: challenges and approaches,Error control for receiver-driven layered multicast of audio and video,Data compression for light-field rendering,Model-aided coding: a new approach to incorporate facial animation into motion-compensated video coding,Rate-distortion optimized layered coding with unequal error protection for robust Internet video,A rate-control scheme for video transport over wireless channels,Multiple description coding of motion fields for robust video transmission,Robust transmission of video sequence using double-vector motion compensation,Wireless MPEG-4 video communication on DSP chips,Motion-vector optimization of control grid interpolation and overlapped block motion compensation using iterated dynamic programming,Optimal intra/inter mode switching for robust video communication over the Internet,Rate control using embedded adaptive vector quantization,Convexity results for a predictive video coder,Low-bit rate motion JPEG using differential encoding,Perceptual Video Coding with H.264,Optimal Motion Compensation for Low Bit Rate Wavelet Based Error Frame Coding,Rate distortion bounds for blocking and intra-frame prediction in videos,On the use of SSIM in HEVC,Adaptive Fast Inter Mode Decision Algorithm Using Dynamic Threshold Technique for H.264/AVC P Slices
The software radio architecture,"J. Mitola, ",1995,892,SVD based reconfigurable SRC filter for multi-standard radio receivers,Packet data transmission in worldwide interoperability for microwave access with reduced peak to average power ratio and out-band distortion using software defined radio,Development design and demonstration of very high-speed multi-antenna digital receiver,Experimental validation of orthogonal frequency division multiplexing with peak-to-average power ratio reduction and out-band distortion control using software defined radio,Superconductors and cryogenics for future communication systems,Dual-mode vector-quantized low-rate cordless videophone systems for indoors and outdoors applications,Impart of access scheme selectability on traffic performance in wireless multimedia communications system,Multilayer LMS interference suppression algorithms for CDMA wireless networks,Rapid prototyping of a test modem for terrestrial broadcasting of digital television,Digital signal processors in cellular radio communications,Advanced base station technology,Performance trends for analog to digital converters,A soft radio architecture for reconfigurable platforms,The software radio concept,Wireless mobile communications at the start of the 21st century,A PC-based software receiver using a novel front-end technology,Next-generation wireless communications concepts and technologies,A 13-b 40-MSamples/s CMOS pipelined folding ADC with background offset trimming,High-performance flexible all-digital quadrature up and down converter chip,Software radio architecture: a mathematical perspective,Analog-to-digital converter survey and analysis,On the use of interpolated second-order polynomials for efficient filter design in programmable downconversion,Software radio issues in cellular base stations,A low-power DSP core-based software radio architecture,Architectural overview of the SPEAKeasy system,Software radio architecture with smart antennas: a tutorial on algorithms and complexity,Trellis-coded modulation with bit interleaving and iterative decoding,A software radio architecture for linear multiuser detection,Wireless communications in the twenty-first century: a perspective,Scalable video coding and transport over broadband wireless networks
