title,first-author,year,citation
Region-Based Convolutional Networks for Accurate Object Detection and Segmentation,Ross Girshick,2016,112,https://ieeexplore.ieee.org/document/7112511/citations?tabFilter=papers
Markovian architectural bias of recurrent neural networks,P. Tino,2004,111,https://ieeexplore.ieee.org/document/1263574/citations?tabFilter=papers
Learning Fine-Grained Image Similarity with Deep Ranking,Jiang Wang,2014,109,https://ieeexplore.ieee.org/document/6909576/citations?tabFilter=papers
Recent advances in deep learning for speech research at Microsoft,Li Deng,2013,106,https://ieeexplore.ieee.org/document/6639345/citations?tabFilter=papers
PANDA: Pose Aligned Networks for Deep Attribute Modeling,Ning Zhang,2014,106,https://ieeexplore.ieee.org/document/6909608/citations?tabFilter=papers
Extreme Learning Machine for Multilayer Perceptron,Jiexiong Tang,2016,105,https://ieeexplore.ieee.org/document/7103337/citations?tabFilter=papers
An empirical evaluation of deep architectures on problems with many factors of variation,Hugo Larochelle,2007,103,https://ieeexplore.ieee.org/document/7672306/citations?tabFilter=papers
PCANet: A Simple Deep Learning Baseline for Image Classification?,Tsung-Han Chan,2015,101,https://ieeexplore.ieee.org/document/7234886/citations?tabFilter=papers
Towards Scaling Up Classification-Based Speech Separation,Yuxuan Wang,2013,99,https://ieeexplore.ieee.org/document/6473841/citations?tabFilter=papers
An improved deep learning architecture for person re-identification,Ejaz Ahmed,2015,99,https://ieeexplore.ieee.org/document/7299016/citations?tabFilter=papers
Optimal Buffer Management Policies for Delay Tolerant Networks,Amir Krifa,2008,97,https://ieeexplore.ieee.org/document/4557763/citations?tabFilter=papers
Learning from mistakes: a comprehensive study on real world concurrency bug characteristics,Shan Lu,2008,92,https://ieeexplore.ieee.org/document/5897074/citations?tabFilter=papers
Deep Hierarchies in the Primate Visual Cortex: What Can We Learn for Computer Vision?,Norbert Kruger,2013,92,https://ieeexplore.ieee.org/document/6389683/citations?tabFilter=papers
Big Data Deep Learning: Challenges and Perspectives,Xue-Wen Chen,2014,91,https://ieeexplore.ieee.org/document/6817512/citations?tabFilter=papers
"Deep, Big, Simple Neural Nets for Handwritten Digit Recognition",Dan Claudiu Cireşan,2010,90,https://ieeexplore.ieee.org/document/6797043/citations?tabFilter=papers
Object Detection in Optical Remote Sensing Images Based on Weakly Supervised Learning and High-Level Feature Learning,Junwei Han,2015,90,https://ieeexplore.ieee.org/document/6991537/citations?tabFilter=papers
Classification using discriminative restricted Boltzmann machines,Hugo Larochelle,2008,89,https://ieeexplore.ieee.org/document/5885484/citations?tabFilter=papers
Vehicle Detection in Satellite Images by Hybrid Deep Convolutional Neural Networks,Xueyun Chen,2014,89,https://ieeexplore.ieee.org/document/6778050/citations?tabFilter=papers
Hierarchical Convolutional Features for Visual Tracking,Chao Ma,2015,88,https://ieeexplore.ieee.org/document/7410709/citations?tabFilter=papers
Convolutional Neural Network Committees for Handwritten Character Classification,Dan Claudiu Ciresan,2011,85,https://ieeexplore.ieee.org/document/6065487/citations?tabFilter=papers
Guest Editorial Deep Learning in Medical Imaging: Overview and Future Promise of an Exciting New Technique,Hayit Greenspan,2016,84,https://ieeexplore.ieee.org/document/7463094/citations?tabFilter=papers
Saliency detection by multi-context deep learning,Rui Zhao,2015,83,https://ieeexplore.ieee.org/document/7298731/citations?tabFilter=papers
Curriculum learning,Yoshua Bengio,2009,82,https://ieeexplore.ieee.org/document/5886383/citations?tabFilter=papers
Joint Embedding Learning and Sparse Regression: A Framework for Unsupervised Feature Selection,Chenping Hou,2014,82,https://ieeexplore.ieee.org/document/6565365/citations?tabFilter=papers
Age and Gender Estimation of Unfiltered Faces,Eran Eidinger,2014,80,https://ieeexplore.ieee.org/document/6906255/citations?tabFilter=papers
On rectified linear units for speech processing,M. D. Zeiler,2013,79,https://ieeexplore.ieee.org/document/6638312/citations?tabFilter=papers
Convolutional Neural Networks for Medical Image Analysis: Full Training or Fine Tuning?,Nima Tajbakhsh,2016,79,https://ieeexplore.ieee.org/document/7426826/citations?tabFilter=papers
Local Receptive Fields Based Extreme Learning Machine,Guang-Bin Huang,2015,79,https://ieeexplore.ieee.org/document/7083684/citations?tabFilter=papers
Deep Learning and Its Applications to Signal and Information Processing [Exploratory DSP],Dong Yu,2011,78,https://ieeexplore.ieee.org/document/5670617/citations?tabFilter=papers
Age and gender classification using convolutional neural networks,Gil Levi,2015,78,https://ieeexplore.ieee.org/document/7301352/citations?tabFilter=papers
Deep Learning Identity-Preserving Face Space,Zhenyao Zhu,2013,77,https://ieeexplore.ieee.org/document/6751123/citations?tabFilter=papers
On Training Targets for Supervised Speech Separation,Yuxuan Wang,2014,77,https://ieeexplore.ieee.org/document/6887314/citations?tabFilter=papers
14.5 Eyeriss: An energy-efficient reconfigurable accelerator for deep convolutional neural networks,Yu-Hsin Chen,2016,77,https://ieeexplore.ieee.org/document/7418007/citations?tabFilter=papers
Multipath Sparse Coding Using Hierarchical Matching Pursuit,Liefeng Bo,2013,76,https://ieeexplore.ieee.org/document/6618935/citations?tabFilter=papers
Stacked Autoencoders for Unsupervised Feature Learning and Multiple Organ Detection in a Pilot Study Using 4D Patient Data,Hoo-Chang Shin,2013,75,https://ieeexplore.ieee.org/document/6399478/citations?tabFilter=papers
Spectral&ndash;Spatial Classification of Hyperspectral Data Based on Deep Belief Network,Yushi Chen,2015,75,https://ieeexplore.ieee.org/document/7018910/citations?tabFilter=papers
Cross-language knowledge transfer using multilingual deep neural network with shared hidden layers,Jui-Ting Huang,2013,75,https://ieeexplore.ieee.org/document/6639081/citations?tabFilter=papers
Multilabel random walker image segmentation using prior models,L. Grady,2005,74,https://ieeexplore.ieee.org/document/1467345/citations?tabFilter=papers
Deep Architecture for Traffic Flow Prediction: Deep Belief Networks With Multitask Learning,Wenhao Huang,2014,74,https://ieeexplore.ieee.org/document/6786503/citations?tabFilter=papers
PhotoOCR: Reading Text in Uncontrolled Conditions,Alessandro Bissacco,2013,74,https://ieeexplore.ieee.org/document/6751207/citations?tabFilter=papers
New types of deep neural network learning for speech recognition and related applications: an overview,Li Deng,2013,72,https://ieeexplore.ieee.org/document/6639344/citations?tabFilter=papers
From captions to visual concepts and back,Hao Fang,2015,71,https://ieeexplore.ieee.org/document/7298754/citations?tabFilter=papers
Multimodal Deep Autoencoder for Human Pose Recovery,Chaoqun Hong,2015,71,https://ieeexplore.ieee.org/document/7293666/citations?tabFilter=papers
